Date,Weekday,Hour,Very negative,Negative,Positive,Very positive,Total
9/1/2021,Saturday,17:00,0,3,3,9,15
9/1/2021,Saturday,18:00,0,0,4,14,18
9/1/2021,Saturday,19:00,0,0,1,5,6
10/1/2021,Sunday,17:00,1,1,1,14,17
10/1/2021,Sunday,18:00,1,0,3,24,28
10/1/2021,Sunday,19:00,0,0,0,5,5
11/1/2021,Monday,17:00,0,0,3,20,23
11/1/2021,Monday,18:00,0,1,6,32,39
11/1/2021,Monday,19:00,0,0,1,9,10
12/1/2021,Tuesday,17:00,1,0,5,17,23
12/1/2021,Tuesday,18:00,1,1,8,25,35
12/1/2021,Tuesday,19:00,0,0,1,8,9
13/01/2021,Wednesday,17:00,0,1,3,12,16
13/01/2021,Wednesday,18:00,0,1,4,22,27
13/01/2021,Wednesday,19:00,0,0,1,17,18
14/01/2021,Thursday,17:00,0,0,6,21,27
14/01/2021,Thursday,18:00,0,0,4,28,32
14/01/2021,Thursday,19:00,0,0,6,11,17
15/01/2021,Friday,17:00,1,0,2,16,19
15/01/2021,Friday,18:00,0,0,6,25,31
15/01/2021,Friday,19:00,0,0,2,10,12
16/01/2021,Saturday,17:00,0,0,0,4,4
16/01/2021,Saturday,18:00,0,0,5,23,28
16/01/2021,Saturday,19:00,0,0,2,8,10
17/01/2021,Sunday,17:00,1,0,1,11,13
17/01/2021,Sunday,18:00,0,2,6,17,25
17/01/2021,Sunday,19:00,0,0,1,4,5
18/01/2021,Monday,17:00,1,0,2,13,16
18/01/2021,Monday,18:00,0,0,3,17,20
18/01/2021,Monday,19:00,0,0,1,9,10
19/01/2021,Tuesday,17:00,1,0,3,19,23
19/01/2021,Tuesday,18:00,0,0,3,21,24
19/01/2021,Tuesday,19:00,0,0,2,10,12
20/01/2021,Wednesday,17:00,0,0,3,12,15
20/01/2021,Wednesday,18:00,0,0,3,37,40
20/01/2021,Wednesday,19:00,0,0,5,14,19
21/01/2021,Thursday,17:00,2,1,3,21,27
21/01/2021,Thursday,18:00,0,1,2,37,40
21/01/2021,Thursday,19:00,0,0,3,14,17
22/01/2021,Friday,17:00,1,2,2,8,13
22/01/2021,Friday,18:00,0,2,1,22,25
22/01/2021,Friday,19:00,0,0,3,20,23
23/01/2021,Saturday,17:00,0,0,1,11,12
23/01/2021,Saturday,18:00,0,0,6,32,38
23/01/2021,Saturday,19:00,0,0,1,10,11
24/01/2021,Sunday,17:00,2,0,4,16,22
24/01/2021,Sunday,18:00,2,1,4,24,31
