Date,Weekday,Hour,Very negative,Negative,Positive,Very positive,Total
9/1/2021,Saturday,11:00,0,0,0,6,6
9/1/2021,Saturday,12:00,0,0,1,10,11
9/1/2021,Saturday,13:00,0,1,0,3,4
10/1/2021,Sunday,11:00,0,0,3,9,12
10/1/2021,Sunday,12:00,0,0,2,19,21
10/1/2021,Sunday,13:00,0,1,1,5,7
11/1/2021,Monday,11:00,0,1,4,15,20
11/1/2021,Monday,12:00,0,2,4,13,19
11/1/2021,Monday,13:00,0,0,0,11,11
12/1/2021,Tuesday,11:00,0,0,4,13,17
12/1/2021,Tuesday,12:00,0,0,5,21,26
12/1/2021,Tuesday,13:00,0,0,5,6,11
13/01/2021,Wednesday,11:00,0,0,3,17,20
13/01/2021,Wednesday,12:00,0,0,3,23,26
13/01/2021,Wednesday,13:00,0,0,2,10,12
14/01/2021,Thursday,11:00,0,0,1,11,12
14/01/2021,Thursday,12:00,0,1,2,18,21
14/01/2021,Thursday,13:00,0,0,2,12,14
15/01/2021,Friday,11:00,1,1,2,13,17
15/01/2021,Friday,12:00,0,1,2,19,22
15/01/2021,Friday,13:00,0,1,3,11,15
16/01/2021,Saturday,11:00,0,1,2,9,12
16/01/2021,Saturday,12:00,0,1,2,17,20
16/01/2021,Saturday,13:00,0,0,0,1,1
17/01/2021,Sunday,11:00,0,0,5,17,22
17/01/2021,Sunday,12:00,0,0,1,13,14
17/01/2021,Sunday,13:00,0,0,0,6,6
18/01/2021,Monday,11:00,0,0,1,4,5
18/01/2021,Monday,12:00,0,0,2,15,17
18/01/2021,Monday,13:00,0,0,4,11,15
19/01/2021,Tuesday,11:00,0,0,2,19,21
19/01/2021,Tuesday,12:00,0,0,6,14,20
19/01/2021,Tuesday,13:00,0,0,3,17,20
20/01/2021,Wednesday,11:00,0,0,5,17,22
20/01/2021,Wednesday,12:00,0,2,3,25,30
20/01/2021,Wednesday,13:00,0,0,3,12,15
21/01/2021,Thursday,11:00,0,0,1,12,13
21/01/2021,Thursday,12:00,0,1,3,14,18
21/01/2021,Thursday,13:00,0,2,4,9,15
22/01/2021,Friday,11:00,0,0,3,17,20
22/01/2021,Friday,12:00,0,0,2,22,24
22/01/2021,Friday,13:00,0,1,3,11,15
23/01/2021,Saturday,11:00,1,1,4,14,20
23/01/2021,Saturday,12:00,0,0,2,17,19
23/01/2021,Saturday,13:00,0,0,1,6,7
24/01/2021,Sunday,11:00,0,0,2,18,20
24/01/2021,Sunday,12:00,0,1,3,17,21
24/01/2021,Sunday,13:00,0,1,0,6,7
25/01/2021,Monday,11:00,0,0,4,14,18
25/01/2021,Monday,12:00,0,0,4,20,24
25/01/2021,Monday,13:00,1,0,3,15,19
26/01/2021,Tuesday,11:00,0,0,3,12,15
26/01/2021,Tuesday,12:00,0,0,2,15,17
26/01/2021,Tuesday,13:00,0,1,6,12,19
27/01/2021,Wednesday,11:00,1,0,3,13,17
27/01/2021,Wednesday,12:00,0,2,4,27,33
27/01/2021,Wednesday,13:00,0,0,0,6,6
28/01/2021,Thursday,11:00,0,0,6,10,16
28/01/2021,Thursday,12:00,0,0,4,25,29
28/01/2021,Thursday,13:00,0,0,0,13,13
29/01/2021,Friday,11:00,0,0,4,13,17
29/01/2021,Friday,12:00,0,0,3,20,23
29/01/2021,Friday,13:00,0,1,0,10,11
30/01/2021,Saturday,11:00,0,0,2,16,18
30/01/2021,Saturday,12:00,0,0,3,12,15
30/01/2021,Saturday,13:00,0,0,0,7,7
31/01/2021,Sunday,11:00,0,0,1,14,15
31/01/2021,Sunday,12:00,0,0,1,20,21
31/01/2021,Sunday,13:00,0,1,0,1,2
1/2/2021,Monday,11:00,0,1,3,16,20
1/2/2021,Monday,12:00,0,0,2,29,31
1/2/2021,Monday,13:00,0,0,3,6,9
2/2/2021,Tuesday,11:00,0,1,1,15,17
2/2/2021,Tuesday,12:00,1,0,3,10,14
2/2/2021,Tuesday,13:00,0,1,2,16,19
3/2/2021,Wednesday,11:00,0,0,2,14,16
3/2/2021,Wednesday,12:00,0,3,3,21,27
3/2/2021,Wednesday,13:00,0,0,1,7,8
4/2/2021,Thursday,11:00,0,0,1,13,14
4/2/2021,Thursday,12:00,0,1,5,17,23
4/2/2021,Thursday,13:00,0,0,2,20,22
5/2/2021,Friday,11:00,0,0,4,19,23
5/2/2021,Friday,12:00,0,0,5,18,23
5/2/2021,Friday,13:00,0,0,4,7,11
6/2/2021,Saturday,11:00,0,0,2,11,13
6/2/2021,Saturday,12:00,0,1,6,13,20
6/2/2021,Saturday,13:00,0,0,0,3,3
7/2/2021,Sunday,11:00,0,0,1,16,17
7/2/2021,Sunday,12:00,0,0,2,12,14
7/2/2021,Sunday,13:00,0,0,1,6,7
8/2/2021,Monday,11:00,0,0,2,15,17
8/2/2021,Monday,12:00,0,0,0,10,10
8/2/2021,Monday,13:00,0,0,3,14,17
9/2/2021,Tuesday,11:00,0,0,1,8,9
9/2/2021,Tuesday,12:00,1,1,2,18,22
9/2/2021,Tuesday,13:00,0,0,3,9,12
10/2/2021,Wednesday,11:00,0,1,0,11,12
10/2/2021,Wednesday,12:00,0,0,6,29,35
10/2/2021,Wednesday,13:00,0,0,4,9,13
11/2/2021,Thursday,11:00,0,0,2,15,17
11/2/2021,Thursday,12:00,1,1,2,17,21
11/2/2021,Thursday,13:00,0,0,2,10,12
12/2/2021,Friday,11:00,0,0,1,7,8
12/2/2021,Friday,12:00,1,0,6,21,28
12/2/2021,Friday,13:00,0,0,0,16,16
13/02/2021,Saturday,11:00,0,0,1,14,15
13/02/2021,Saturday,12:00,0,0,0,11,11
13/02/2021,Saturday,13:00,0,0,1,4,5
14/02/2021,Sunday,11:00,0,0,0,14,14
14/02/2021,Sunday,12:00,0,1,2,12,15
14/02/2021,Sunday,13:00,0,0,2,4,6
15/02/2021,Monday,11:00,0,0,3,13,16
15/02/2021,Monday,12:00,0,0,2,21,23
15/02/2021,Monday,13:00,0,0,1,8,9
16/02/2021,Tuesday,11:00,0,0,4,7,11
16/02/2021,Tuesday,12:00,0,1,3,14,18
16/02/2021,Tuesday,13:00,0,0,4,12,16
17/02/2021,Wednesday,11:00,0,0,2,9,11
17/02/2021,Wednesday,12:00,1,1,1,18,21
17/02/2021,Wednesday,13:00,0,0,2,7,9
18/02/2021,Thursday,11:00,0,0,0,13,13
18/02/2021,Thursday,12:00,0,0,2,21,23
18/02/2021,Thursday,13:00,0,0,2,9,11
19/02/2021,Friday,11:00,0,0,7,11,18
19/02/2021,Friday,12:00,0,2,4,13,19
19/02/2021,Friday,13:00,1,0,1,11,13
20/02/2021,Saturday,11:00,0,0,0,12,12
20/02/2021,Saturday,12:00,0,0,2,16,18
20/02/2021,Saturday,13:00,1,0,1,3,5
21/02/2021,Sunday,11:00,1,0,1,9,11
21/02/2021,Sunday,12:00,0,0,4,20,24
21/02/2021,Sunday,13:00,0,0,1,2,3
22/02/2021,Monday,11:00,0,0,2,10,12
22/02/2021,Monday,12:00,0,1,1,21,23
22/02/2021,Monday,13:00,0,1,3,10,14
23/02/2021,Tuesday,11:00,0,0,2,7,9
23/02/2021,Tuesday,12:00,0,0,4,16,20
23/02/2021,Tuesday,13:00,0,0,6,13,19
24/02/2021,Wednesday,11:00,0,1,3,13,17
24/02/2021,Wednesday,12:00,0,1,3,20,24
24/02/2021,Wednesday,13:00,0,0,3,12,15
25/02/2021,Thursday,11:00,0,0,0,15,15
25/02/2021,Thursday,12:00,0,0,3,21,24
25/02/2021,Thursday,13:00,0,0,0,10,10
26/02/2021,Friday,11:00,0,0,3,9,12
